LEA Code,LEA Name,School Code,School Name,School Type,Ward,School Framework,Framework Weight,Framework Points Earned,Framework Points Possible,Framework STAR Score,Framework STAR Rating
165,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,Charter,5,Middle School,28.46,56.19,95,59.15,3
166,Shining Stars Montessori Academy PCS,3066,Shining Stars Montessori Academy PCS,Charter,5,Elementary School with Pre-Kindergarten,100,43.38,80,54.23,3
167,Richard Wright PCS for Journalism and Media Arts,3067,Richard Wright PCS for Journalism and Media Arts,Charter,6,High School,100,47.5,95,50,3
168,Basis DC PCS,3068,BASIS DC PCS,Charter,2,High School,13.68,79.46,80,99.32,5
168,Basis DC PCS,3068,BASIS DC PCS,Charter,2,Middle School,86.32,86.69,100,86.69,5
169,Creative Minds International PCS,3069,Creative Minds International PCS,Charter,5,Elementary School with Pre-Kindergarten,65.76,35.85,100,35.85,2
169,Creative Minds International PCS,3069,Creative Minds International PCS,Charter,5,Middle School,34.24,47.68,95,50.19,3
170,DC Scholars PCS,3070,DC Scholars PCS,Charter,7,Elementary School with Pre-Kindergarten,65.43,24.26,95,25.54,2
170,DC Scholars PCS,3070,DC Scholars PCS,Charter,7,Middle School,34.57,22.7,95,23.89,2
171,Mundo Verde Bilingual PCS,3065,Mundo Verde Bilingual PCS,Charter,5,Elementary School with Pre-Kindergarten,100,67.22,100,67.22,4
173,Ingenuity Prep PCS,200,Ingenuity Prep PCS,Charter,8,Elementary School with Pre-Kindergarten,100,42.94,95,45.2,3
174,Sela PCS,197,Sela PCS,Charter,4,Elementary School with Pre-Kindergarten,100,50.62,80,63.27,4
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,Charter,8,High School,25.22,36.91,85,43.43,3
175,Somerset Preparatory Academy PCS,187,Somerset Preparatory Academy PCS,Charter,8,Middle School,74.78,21.13,95,22.25,2
177,Lee Montessori PCS,228,Lee Montessori PCS,Charter,5,Elementary School with Pre-Kindergarten,100,41.56,75,55.42,3
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,Elementary School with Pre-Kindergarten,61.06,9.23,95,9.71,1
179,Democracy Prep Congress Heights PCS,234,Democracy Prep Congress Heights PCS,Charter,8,Middle School,38.94,10.11,95,10.64,1
180,Harmony DC PCS,245,Harmony DC PCS - School of Excellence,Charter,5,Elementary School without Pre-Kindergarten,100,46.75,85,55,3
181,District of Columbia International School,248,District of Columbia International School,Charter,4,High School,11.08,66.74,95,70.25,4
181,District of Columbia International School,248,District of Columbia International School,Charter,4,Middle School,88.92,68.02,100,68.02,4
184,Monument Academy PCS,260,Monument Academy PCS,Charter (Alternative),6,Alternative Framework,100,28.79,95,30.31,2
185,Washington Global PCS,263,Washington Global PCS,Charter,6,Middle School,100,32.87,95,34.6,2
186,Kingsman Academy PCS,267,Kingsman Academy PCS,Charter (Alternative),6,Alternative Framework,100,24.64,95,25.94,2
188,The Children's Guild DC PCS,255,The Children's Guild PCS,Charter (Alternative),5,Alternative Framework,100,22.24,95,23.41,2
191,Rocketship DC PCS,286,Rocketship DC PCS - Rise Academy,Charter,8,Elementary School with Pre-Kindergarten,100,43.12,95,45.39,3
194,Washington Leadership Academy PCS,283,Washington Leadership Academy PCS,Charter,5,High School,100,72.19,85,84.93,5
